frequency_hz,phase_deg,magnitude_ohm
728258.181818,76.1934338047,32.848937371
731288.424242,78.7785736531,34.1175102131
734318.666667,76.8436307945,35.105238005
737348.909091,78.3209407219,35.4539954631
740379.151515,79.020841635,36.2226322729
743409.393939,80.2891101167,37.7128756233
746439.636364,80.8083661482,38.219912383
749469.878788,80.5216549242,38.7984178356
752500.121212,81.2530650862,39.2810839551
755530.363636,80.7470084539,39.9660773155
758560.606061,81.3304416542,40.9890135431
761590.848485,81.648874415,41.5811961568
764621.090909,81.8112616508,42.2482103316
767651.333333,81.7980388732,42.4470382684
770681.575758,81.5881975127,43.6042791077
773711.818182,82.298305225,44.088309199
776742.060606,82.6078716455,45.1198395646
779772.30303,83.7550718925,44.8866782906
782802.545455,82.8167106389,46.4744029701
785832.787879,83.4589377613,46.2826728548
788863.030303,85.0039142093,47.6338059924
791893.272727,83.3398118679,47.8429752948
794923.515152,82.3108757268,49.5500827886
797953.757576,83.4647986824,49.4045487595
800984,83.1407757955,48.6881196876
804014.242424,83.4864667132,51.2183357327
807044.484848,83.5877994633,51.1856109341
810074.727273,84.2891228554,51.9805276478
813104.969697,83.6644504305,52.5762961636
816135.212121,84.0003891833,52.6625237218
819165.454545,84.2623192221,53.0464023387
822195.69697,83.8822083176,53.7324432876
825225.939394,84.7908021595,54.3477905609
828256.181818,84.2470991948,54.9806978564
831286.424242,84.2817664055,58.4463673803
834316.666667,84.2691292735,56.2791150401
837346.909091,84.2862458625,56.5857265433
840377.151515,83.2445763874,59.8321711769
843407.393939,84.732500584,57.7549997314
846437.636364,84.8965908065,58.804331594
849467.878788,85.0934492409,58.5781960463
852498.121212,85.0134456095,58.9209297843
855528.363636,83.8112019517,58.157511509
858558.606061,84.5052016225,59.8964691514
861588.848485,84.653374672,60.5220222481
864619.090909,83.4139566026,60.5545878431
867649.333333,84.792810869,61.7678982378
870679.575758,83.4436164844,61.6275579584
873709.818182,85.2718128045,62.5952397943
876740.060606,84.8430383762,63.3194928655
879770.30303,83.5468408151,62.2783057712
882800.545455,84.9634015261,64.2041315196
885830.787879,84.8998606761,64.5150074716
888861.030303,86.203921877,64.9426774949
891891.272727,85.2356969567,64.9385206631
894921.515152,83.651846518,66.3319791753
897951.757576,85.5058163436,66.5921496292
900982,84.9729057631,67.2560498342
904012.242424,85.1783981909,67.2219353192
907042.484848,84.0712581824,67.1907918139
910072.727273,84.8964535365,68.3307769919
913102.969697,85.8343898615,68.4517709935
916133.212121,85.2299630909,69.9021134696
919163.454545,84.84573394,70.0851063981
922193.69697,84.6519166767,70.1897394585
925223.939394,84.1966626564,72.2609681396
928254.181818,84.5212643147,71.3159199066
931284.424242,82.5974858065,73.1968202373
934314.666667,84.512935719,73.2213633454
937344.909091,84.5775172904,72.6393719055
940375.151515,84.6041196292,71.2518979898
943405.393939,85.764901973,72.4309749928
946435.636364,85.0231806694,72.8651154771
949465.878788,85.577926428,72.3449647848
952496.121212,84.0814493886,73.414263387
955526.363636,85.1211951661,74.0451573528
958556.606061,86.7949146688,72.7978183769
961586.848485,85.121374067,74.8195164905
964617.090909,84.8469171188,75.3804297503
967647.333333,85.5078965976,75.5175314472
970677.575758,85.2585758487,76.445179862
973707.818182,85.4225811402,76.9176208608
976738.060606,84.9702565052,76.3267531628
979768.30303,85.6417604174,77.3708824135
982798.545455,85.6418123522,77.8868429553
985828.787879,84.9726352059,78.756470638
988859.030303,85.7998406813,80.6276228663
991889.272727,85.8231395447,79.6466862185
994919.515152,85.0977099802,83.2506187805
997949.757576,86.3937676013,80.9042752968
1000980,85.9203954704,80.6274524623
1004010.24242,86.5253237863,84.9017289945
