frequency_hz,phase_deg,magnitude_ohm
1537332.90909,81.977403251,436.332588906
1540363.15152,86.8037029656,397.102959814
1543393.39394,90.2201356672,423.411046314
1546423.63636,91.3282850476,532.904722691
1549453.87879,86.9168220161,403.912276791
1552484.12121,84.6896045153,430.451420889
1555514.36364,94.1698794549,537.579209638
1558544.60606,92.7465647746,470.682851124
1561574.84848,86.3564783401,420.236203476
1564605.09091,80.5720206272,461.060335842
1567635.33333,85.0904215317,467.446614691
1570665.57576,87.7309227864,423.809756586
1573695.81818,82.562164507,427.773392979
1576726.06061,86.345839707,425.926149528
1579756.30303,85.2356209027,458.638060952
1582786.54545,90.2646854208,427.922604468
1585816.78788,85.901189792,430.51700837
1588847.0303,84.2190086451,463.395112996
1591877.27273,83.3052208711,427.872941143
1594907.51515,86.3855498009,438.366979115
1597937.75758,81.0194413467,591.09094004
1600968,85.6696242239,473.306203701
1603998.24242,86.5326352485,447.980014214
1607028.48485,88.7713510204,425.481904106
1610058.72727,85.3471472181,468.783214218
1613088.9697,86.9794893528,469.590550711
1616119.21212,77.9368345738,466.718830834
1619149.45455,88.6387240529,504.502808139
1622179.69697,86.2347571233,464.014049645
1625209.93939,85.1645412295,475.815507447
1628240.18182,86.9291483378,471.018548367
1631270.42424,86.1410428587,473.698418805
1634300.66667,89.8150583812,505.511928534
1637330.90909,83.6803902779,491.137701693
1640361.15152,85.2260026086,487.179000246
1643391.39394,82.1816869951,551.77699313
1646421.63636,88.4184279947,501.461109928
1649451.87879,87.4740418447,495.327212465
1652482.12121,77.6059616084,525.743700374
1655512.36364,79.5251919516,563.479562189
1658542.60606,84.4481711971,477.750613123
1661572.84848,83.9914139388,513.304475385
1664603.09091,85.3299711378,510.715746201
1667633.33333,86.9092785847,588.163425563
1670663.57576,86.5864702419,564.624242788
1673693.81818,85.6764463596,520.730330482
1676724.06061,78.5777763938,534.138123871
1679754.30303,81.1397891396,521.591595719
1682784.54545,85.160840724,521.32657776
1685814.78788,85.3662018549,534.545509457
1688845.0303,83.91719605,562.475869336
1691875.27273,85.6177747557,543.264729173
1694905.51515,88.4247715136,618.471268866
1697935.75758,80.340220445,586.217644937
1700966,85.2745317493,556.72472648
1703996.24242,85.7437149708,588.782889044
1707026.48485,79.0347165081,596.686110489
1710056.72727,84.3732636789,580.707189244
1713086.9697,79.2949778506,565.456851685
1716117.21212,84.6297875693,576.36526038
1719147.45455,79.4821450596,572.936445733
1722177.69697,84.8674550832,593.261948575
1725207.93939,85.1191256768,578.888211366
1728238.18182,81.5994257971,617.033882345
1731268.42424,85.0698406119,589.235763084
