frequency_hz,phase_deg,magnitude_ohm
1279762.30303,-88.4757822569,473.252800519
1282792.54545,-88.6366388143,479.3559429
1285822.78788,-87.9825562092,482.71065919
1288853.0303,-87.4398237611,480.825368978
1291883.27273,-88.5668881575,480.90206334
1294913.51515,-86.7486978693,491.842836655
1297943.75758,-89.258530307,465.630677717
1300974,-88.8260429141,468.91871818
1304004.24242,-87.4196500251,484.789625416
1307034.48485,-88.2663039524,474.528077225
1310064.72727,-89.2564712801,475.839663069
1313094.9697,-87.0475542612,454.909280974
1316125.21212,-89.8127054688,457.616220944
1319155.45455,-89.0049213729,459.121312351
1322185.69697,-90.7819318417,461.956368191
1325215.93939,-88.0922562992,452.494869686
1328246.18182,-89.2994380874,458.098569982
1331276.42424,-94.6849645211,415.6869758
1334306.66667,-89.2052331233,451.303306196
1337336.90909,-89.0179161642,459.317649176
1340367.15152,-90.2972763046,451.643393278
1343397.39394,-88.2530245194,448.637102063
1346427.63636,-88.2357051835,462.879551172
1349457.87879,-87.4664619806,400.403243825
1352488.12121,-88.4080725899,433.711771848
1355518.36364,-88.4076088669,451.700925243
1358548.60606,-91.6124357491,429.993486045
1361578.84848,-87.1704818222,450.462336262
1364609.09091,-87.9283510074,450.156402807
1367639.33333,-92.5214980867,408.745348707
1370669.57576,-89.3350104408,427.675375665
1373699.81818,-89.261069068,446.773636554
1376730.06061,-85.5330217589,455.04120867
1379760.30303,-87.9539415748,431.436709407
1382790.54545,-88.4851721278,440.71496295
1385820.78788,-95.8845593462,418.816508048
1388851.0303,-86.4583108533,430.271561285
1391881.27273,-88.8042044077,442.369310319
1394911.51515,-92.1298557699,414.349030464
1397941.75758,-87.6692806606,434.650658331
1400972,-88.5964314647,427.334100088
1404002.24242,-88.0334322207,442.101076772
1407032.48485,-88.0190782915,427.078142381
1410062.72727,-84.3868222734,440.855843768
1413092.9697,-89.7379073575,392.161272063
1416123.21212,-87.9988074148,425.443538341
1419153.45455,-88.9882125951,419.116745139
1422183.69697,-85.5935022346,448.55137899
1425213.93939,-88.5395041355,419.238904243
1428244.18182,-84.2437957656,405.706034391
1431274.42424,-85.9452459631,432.175813122
1434304.66667,-89.3268481779,421.799592684
1437334.90909,-88.1826662269,406.607640616
1440365.15152,-91.3013032915,412.254843784
1443395.39394,-87.709810677,420.198921898
1446425.63636,-82.5385540714,372.126834326
1449455.87879,-88.0067448388,417.474038947
1452486.12121,-88.1193772574,411.559749039
1455516.36364,-87.6267028958,387.768884054
1458546.60606,-88.3818307566,427.449451736
1461576.84848,-87.7106285826,404.617344448
1464607.09091,-87.5243815243,405.358278981
1467637.33333,-86.6058268451,396.092286459
1470667.57576,-89.1553619234,403.05654841
1473697.81818,-89.2768945343,410.309797896
1476728.06061,-87.0006517321,379.070522003
1479758.30303,-89.3357927746,408.390547446
1482788.54545,-88.3121555732,423.943123831
1485818.78788,-83.6672156582,368.011861483
1488849.0303,-88.5966722204,405.540123573
1491879.27273,-87.0799006284,396.85853393
1494909.51515,-85.9537681101,425.1472796
1497939.75758,-89.3354338378,404.781094241
1500970,-85.2508625714,389.401183583
1504000.24242,-88.9711204383,397.52918427
1507030.48485,-88.6364636846,388.199036253
1510060.72727,-95.1226603238,389.063826574
1513090.9697,-89.3440368044,395.505250399
1516121.21212,-90.7602987933,383.28693378
1519151.45455,-90.0151471124,394.468996894
1522181.69697,-86.9481850898,399.453510759
1525211.93939,-88.1144016632,385.003616405
1528242.18182,-92.338641675,394.304592663
1531272.42424,-85.5862209269,385.997871735
1534302.66667,-89.1299565474,392.440516251
1537332.90909,-87.4172095742,347.886180727
1540363.15152,-88.3097754156,388.875630583
1543393.39394,-93.9064370672,367.742204204
1546423.63636,-92.3430062208,361.226778129
1549453.87879,-88.3833422565,385.749279915
1552484.12121,-88.3218596237,389.449976003
1555514.36364,-87.9867866448,382.478265507
1558544.60606,-88.4768666341,384.54490017
1561574.84848,-88.755396083,379.422942809
1564605.09091,-87.8904774671,374.539523397
1567635.33333,-90.8871906814,386.8760322
1570665.57576,-88.8050758236,381.149811034
1573695.81818,-89.0429795762,418.879625777
1576726.06061,-88.5825164831,361.041434972
1579756.30303,-88.2664252644,382.628000617
1582786.54545,-90.3175527873,357.282819619
1585816.78788,-89.1250904116,381.379327172
1588847.0303,-89.4185529827,374.891237482
1591877.27273,-87.1847755607,395.752327844
1594907.51515,-89.9747441186,363.461411532
1597937.75758,-87.903710842,370.634772063
1600968,-92.3306539312,393.265312575
1603998.24242,-84.680381804,357.712735784
1607028.48485,-88.5076260983,369.382964938
1610058.72727,-87.8191492728,354.851129461
1613088.9697,-85.5434426247,350.929474777
1616119.21212,-88.5540624282,366.377754483
1619149.45455,-88.2682450575,352.962096694
1622179.69697,-88.3535785694,359.818646604
1625209.93939,-87.1664705103,363.737442794
1628240.18182,-89.0377648682,351.293248806
1631270.42424,-88.6391854238,359.995590475
1634300.66667,-88.4288752278,368.658408845
1637330.90909,-87.9658342801,355.629626283
1640361.15152,-88.577568044,356.499795423
1643391.39394,-88.3095888268,353.200920931
1646421.63636,-90.1284626942,349.379984821
1649451.87879,-88.0435770295,358.564354304
1652482.12121,-88.9758069703,363.46128865
1655512.36364,-91.542187289,350.790191793
1658542.60606,-87.8039147862,356.53420113
1661572.84848,-90.1906057935,372.503378313
1664603.09091,-88.27110544,355.125077684
1667633.33333,-88.5870040181,358.018895646
1670663.57576,-86.6129167829,345.937988701
1673693.81818,-88.1003486582,348.322120747
1676724.06061,-88.406338557,341.639252198
1679754.30303,-89.7400506042,339.507437867
1682784.54545,-88.9056627057,353.747910807
1685814.78788,-88.3303888058,347.882029996
1688845.0303,-90.2684568656,330.381837725
1691875.27273,-90.45274412,343.135696879
1694905.51515,-88.1783174512,342.939295191
1697935.75758,-89.8859742501,368.963062726
1700966,-88.7407028426,342.127430353
1703996.24242,-88.416911987,346.569004775
1707026.48485,-94.0432250936,344.813444809
1710056.72727,-88.831099429,340.863361377
1713086.9697,-89.1099762651,340.680272265
1716117.21212,-85.514458999,360.531164541
1719147.45455,-89.6674229884,316.117404124
1722177.69697,-88.6179986317,335.362876438
1725207.93939,-89.8348563039,328.059225738
1728238.18182,-90.1850754539,334.147792996
1731268.42424,-87.4789337242,329.467402615
1734298.66667,-87.6533955712,335.390811707
1737328.90909,-88.8889359802,332.45695643
1740359.15152,-88.6784031189,332.883159564
1743389.39394,-88.2197673131,318.34958976
1746419.63636,-85.1316313318,325.579514675
1749449.87879,-89.0745539951,328.695760756
1752480.12121,-87.5348635093,338.625973889
1755510.36364,-88.6908229391,329.885785409
1758540.60606,-88.5706943309,329.689487959
1761570.84848,-88.4946791421,322.782597905
1764601.09091,-88.1148672653,331.18752948
1767631.33333,-89.2672752427,326.022937866
1770661.57576,-89.5594963483,327.505963934
1773691.81818,-88.5913804546,319.017454181
1776722.06061,-88.514734694,324.823610524
1779752.30303,-84.7097226977,321.453848258
1782782.54545,-88.2923587261,324.472803658
1785812.78788,-88.0542065275,327.99295437
1788843.0303,-87.2154662108,310.260868432
1791873.27273,-88.4209044712,323.843317642
1794903.51515,-88.4443110074,315.299929337
1797933.75758,-89.0205410732,327.985193089
1800964,-89.0418359453,312.733055083
1803994.24242,-88.4041261882,317.660396971
1807024.48485,-89.951131617,312.47834627
1810054.72727,-87.4427507569,318.764165352
1813084.9697,-88.028235442,316.777639894
1816115.21212,-88.4915355934,305.454528528
1819145.45455,-88.8908979107,313.273832737
1822175.69697,-89.2023539948,313.0738236
1825205.93939,-88.1388688728,309.227628852
1828236.18182,-88.5436343586,311.953897547
1831266.42424,-88.5043375779,311.928104402
1834296.66667,-87.9116706767,302.10704014
1837326.90909,-88.2485418188,308.216500827
1840357.15152,-90.8064932803,313.829779842
1843387.39394,-88.1476921091,309.082683593
1846417.63636,-88.2985473359,304.786629418
1849447.87879,-87.352429446,299.686386073
1852478.12121,-88.4302471714,308.146315903
1855508.36364,-88.8265626505,304.2049734
1858538.60606,-90.2453871362,304.820172134
1861568.84848,-88.2769914539,300.92121752
1864599.09091,-88.9699848451,306.205013296
1867629.33333,-87.1090256047,307.082789279
1870659.57576,-89.3932799895,295.099182067
1873689.81818,-88.6133638752,300.434948828
1876720.06061,-89.5951778793,295.834376711
1879750.30303,-89.2126426571,293.40044845
1882780.54545,-89.1222864114,297.063349091
1885810.78788,-84.909518483,292.961248957
1888841.0303,-87.4436845209,295.712737181
1891871.27273,-87.8219244123,297.877441895
1894901.51515,-87.2839621027,287.881155934
1897931.75758,-89.8372834171,295.385018248
1900962,-88.0458260045,294.999483797
1903992.24242,-88.2597084371,287.530736686
1907022.48485,-89.3023916219,292.49444726
1910052.72727,-88.5211992144,294.011747577
1913082.9697,-86.1128796579,284.993192181
1916113.21212,-89.296454176,292.315467464
1919143.45455,-88.3916167906,291.143174224
1922173.69697,-88.6260903902,291.202458373
1925203.93939,-86.8064451796,281.840667112
1928234.18182,-88.5474127063,292.314135278
1931264.42424,-87.8674507417,292.056233922
1934294.66667,-88.0795275662,286.660055446
1937324.90909,-88.618762395,288.84802057
1940355.15152,-88.0668646626,285.930110508
1943385.39394,-85.9304488634,275.937699515
1946415.63636,-89.4716995627,293.062141125
1949445.87879,-87.8944420975,287.314949778
1952476.12121,-90.2462043185,275.538907968
1955506.36364,-89.4822153139,289.476487033
1958536.60606,-88.0081617862,283.727022183
1961566.84848,-86.2013981151,285.877439634
1964597.09091,-89.207552228,282.33346951
1967627.33333,-88.3769010627,284.205923915
1970657.57576,-87.0695580013,266.139100009
1973687.81818,-87.9867610589,281.30260087
1976718.06061,-88.329131092,279.715500148
1979748.30303,-85.5360073093,280.510172515
1982778.54545,-88.4767573862,277.023388086
1985808.78788,-87.991903696,277.364962995
1988839.0303,-89.3107850341,275.787932317
1991869.27273,-87.4563159309,280.899942287
1994899.51515,-88.304648436,277.342120295
1997929.75758,-88.6294264939,275.43390025
2000960,-88.9569165891,275.450064537
2003990.24242,-89.552680083,282.053872064
2007020.48485,-90.1381792189,275.861226627
2010050.72727,-88.3580167888,275.417369289
2013080.9697,-89.4616701685,278.504178339
2016111.21212,-88.7320277197,280.906283606
2019141.45455,-88.9865459122,274.849484378
2022171.69697,-82.5551757287,272.553472979
2025201.93939,-90.214388695,261.794797779
2028232.18182,-88.0127963984,271.45861766
2031262.42424,-86.6843376772,253.396139563
2034292.66667,-89.2948769504,265.84683668
2037322.90909,-87.4701996602,271.651936276
